year,name,yob,district,list_state,list_position,occupation,birthplace,party_wiki_id,party_name_short,party_name_full
2002,"Beck, Josef",1944,NA,NI,10,NA,NA,Q294989,ÖDP,Ökologisch-Demokratische Partei
2002,"Beck, Marieluise",1952,54,HB,1,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Beck, Volker",1960,95,NW,4,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Becker, Andreas",1964,NA,HE,35,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Becker, Bernd",1958,NA,RP,31,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Becker, Dieter",1963,NA,HE,7,NA,NA,Q457217,Schill,Schill-Partei
2002,"Becker, Dr. Andreas",1958,255,BY,4,NA,NA,Q759555,AUFBRUCH,"Aufbruch für Bürgerrechte, Freiheit und Gesundheit"
2002,"Becker, Dr. Klaus",1935,175,NA,NA,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Becker, Hans-Jürgen",1943,NA,SH,15,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Becker, Heinz Karl",1949,95,NA,NA,NA,NA,Q457217,Schill,Schill-Partei
2002,"Becker, Karin",1951,NA,BW,6,NA,NA,Q294989,ÖDP,Ökologisch-Demokratische Partei
2002,"Becker, Michael",1966,101,NW,20,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Becker, Otto Helmut",1940,NA,SL,3,NA,NA,Q156019,NPD,Nationaldemokratische Partei Deutschlands
2002,"Becker, Thomas",1965,NA,HE,32,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Beckmann, Jens",1964,216,NA,NA,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Beckmeyer, Uwe Karl",1949,55,HB,3,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Beckstein, Dr. Günther",1943,NA,BY,5,NA,NA,Q49763,CSU,Christlich-Soziale Union in Bayern e.V.
2002,"Beer, Angelika",1957,6,NA,NA,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Beetz, Dorothea",1981,NA,BW,24,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Behm, Cornelia",1951,61,BB,1,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Behrendt, Barbara Gerhild",1943,NA,NW,9,NA,NA,Q269316,REP,Die Republikaner
2002,"Behrens, Ute",1959,NA,SN-Anhalt,2,NA,NA,Q492561,Tierschutz,Tierschutzpartei
2002,"Behrmann, Armin",1935,82,BE,5,NA,NA,Q34065989,Die Grauen,Die Grauen – Für alle Generationen
2002,"Beier, Andreas",1971,292,NA,NA,NA,NA,NA,Anderer KWV,NA
2002,"Beier, Klaus",1966,NA,BE,1,NA,NA,Q156019,NPD,Nationaldemokratische Partei Deutschlands
2002,"Beiner, Claus",1952,NA,RP,18,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Beisel, Volker",1976,276,BW,18,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Beisig, Walter",1944,NA,BY,9,NA,NA,Q269316,REP,Die Republikaner
2002,"Bellack, Arnold",1934,NA,BE,10,NA,NA,Q457217,Schill,Schill-Partei
2002,"Bellmann, Veronika Maria",1960,162,SN,8,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Bender, Annerose",1941,NA,HE,36,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Bender, Birgitt",1956,260,BW,3,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Bender, Claudia",1969,NA,HE,10,NA,NA,Q896165,CM,Christliche Mitte
2002,"Bendrat, Margarete Elfriede Susanne",1970,NA,NW,8,NA,NA,Q321615,DIE FRAUEN,Feministische Partei DIE FRAUEN
2002,"Benneter, Klaus Uwe",1947,80,NA,NA,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Benninghoven, Heinz",1955,224,BY,28,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Bentele, Hermann",1948,NA,BW,7,NA,NA,Q294989,ÖDP,Ökologisch-Demokratische Partei
2002,"Benz, Dorothea",1963,NA,BW,61,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Ber, Dieter",1941,98,NW,32,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Beran, Andreas",1953,NA,SH,18,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Berends, Sebastian",1982,NA,RP,3,NA,NA,Q156019,NPD,Nationaldemokratische Partei Deutschlands
2002,"Berg, Dr. Axel",1959,219,BY,37,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Berg, Ute",1953,138,NW,18,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Berger, Dr. Hartwig",1943,85,BE,6,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Berger, Karin",1958,37,NA,NA,NA,NA,NA,Anderer KWV,NA
2002,"Berger, Silvio",1967,84,NA,NA,NA,NA,NA,Anderer KWV,NA
2002,"Berger-Welzbach, Ingrid",1950,NA,HE,33,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Bergholz, Christian",1973,NA,BE,6,NA,NA,Q294989,ÖDP,Ökologisch-Demokratische Partei
2002,"Bergmann, Dr. Christine",1939,86,BE,2,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bergmann, Peter",1960,148,NW,24,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Bergner, Dr. Christoph",1948,73,SN-Anhalt,1,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Bering, Axel",1962,NA,BE,7,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Berisha, Silvia",1968,NA,NI,4,NA,NA,Q156019,NPD,Nationaldemokratische Partei Deutschlands
2002,"Berlingen, Ralf Markus",1967,NA,RP,24,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Bermann, Gerhard",1939,NA,SL,22,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Bernard, Johannes Georg Christoph",1962,NA,NW,10,NA,NA,Q157537,Zentrum,NA
2002,"Berndt, Wolfgang",1949,233,NA,NA,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Bernhard, Bernd",1951,NA,MV,1,NA,NA,Q269316,REP,Die Republikaner
2002,"Bernhardt, Otto",1942,4,SH,5,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Berning, Marion",1941,NA,BE,12,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Berninger, Matthias",1971,169,HE,4,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Bernlöhr, Günther-Jürgen",1941,NA,BW,7,NA,NA,Q269316,REP,Die Republikaner
2002,"Bernt, Helmut",1957,NA,NW,6,NA,NA,Q34065989,Die Grauen,Die Grauen – Für alle Generationen
2002,"Bernzen, Enno",1964,NA,TH,19,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Berthold, Lothar Walter",1949,244,BY,20,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Bertl, Hans-Werner",1944,104,NW,31,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bertram, Achim Oliver",1971,NA,RP,15,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Bertram, Gisela",1951,NA,RP,26,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bertrams, Bärbel",1948,NA,BY,19,NA,NA,Q269316,REP,Die Republikaner
2002,"Best, Otfried",1957,NA,SL,4,NA,NA,Q156019,NPD,Nationaldemokratische Partei Deutschlands
2002,"Best, Ursula",1948,NA,NW,28,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Bethge, Horst",1935,24,NA,NA,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Betram, Christoph Horst",1965,117,NA,NA,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Bettin, Grietje",1975,1,SH,1,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Beucher, Friedhelm Julius",1946,100,NW,29,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bevervörden-Rossel, Renate",1952,NA,NI,42,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Beyer, Christian",1974,NA,BY,51,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Beyer, Sigrid Maria Anna",1943,NA,NW,7,NA,NA,Q321615,DIE FRAUEN,Feministische Partei DIE FRAUEN
2002,"Beyer-Peters, Detlev",1957,123,NA,NA,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Bichler, Thomas",1956,66,NA,NA,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Bidinger, Christoph",1966,NA,NI,13,NA,NA,Q457217,Schill,Schill-Partei
2002,"Biela, Werner",1925,NA,HE,5,NA,NA,Q896165,CM,Christliche Mitte
2002,"Bierstedt, Wolfgang",1952,69,SN-Anhalt,6,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Bierwirth, Petra",1960,59,BB,4,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Biescke, Ronald",1968,NA,RP,7,NA,NA,Q487386,PBC,Partei Bibeltreuer Christen
